=========================================
SCOS 2.0 DEDUPLICATED PRODUCT CATALOG PREVIEW
=========================================
Source file: C:\Users\User\Downloads\SKU MRPs as of 19th May.xlsx
Total Unique Product Variants: 1178
=========================================

CATEGORY: Bedding
------------------------------------------------------------
  SKU: SC-STIVFTDSHEET-S-78x36          | Line: bedshee      | ASIN: B0DDCGZWQZ   | FK SKU: SC-F-STIVFTDSHEET-S-78x36 | FSN: None               | MRP: 1999.0   | Name: Sateen Fitted Sheets
  SKU: SC-STMRDUVETCVR-D-90x100         | Line: bedshee      | ASIN: B0DDCCT25F   | FK SKU: SC-F-STMRDUVETCVR-D-90x100 | FSN: None               | MRP: 3599.0   | Name: Sateen Duvet Cover
  SKU: SC-STMRDUVETCVR-S-90x60          | Line: bedshee      | ASIN: B0DDCDZZPZ   | FK SKU: SC-F-STMRDUVETCVR-S-90x60 | FSN: None               | MRP: 2699.0   | Name: Sateen Duvet Cover
  SKU: SC-STMRFTDSHEET-D-72x48          | Line: bedshee      | ASIN: B0DDCDVNKX   | FK SKU: SC-F-STMRFTDSHEET-D-72x48 | FSN: None               | MRP: 2449.0   | Name: Sateen Fitted Sheets
  SKU: SC-STMRFTDSHEET-D-75x48          | Line: bedshee      | ASIN: B0DDCG74N1   | FK SKU: SC-F-STMRFTDSHEET-D-75x48 | FSN: None               | MRP: 2449.0   | Name: Sateen Fitted Sheets
  SKU: SC-STMRFTDSHEET-D-78x48          | Line: bedshee      | ASIN: B0DDCFQ4KS   | FK SKU: SC-F-STMRFTDSHEET-D-78x48 | FSN: None               | MRP: 2449.0   | Name: Sateen Fitted Sheets
  SKU: SC-STMRFTDSHEET-K-72x72          | Line: bedshee      | ASIN: B0DDCHYZBW   | FK SKU: SC-F-STMRFTDSHEET-K-72x72 | FSN: BDSH3SHG52MGTHSF   | MRP: 2999.0   | Name: Sateen Fitted Sheets
  SKU: SC-STMRFTDSHEET-K-75x72          | Line: bedshee      | ASIN: B0DDCG7KLS   | FK SKU: SC-F-STMRFTDSHEET-K-75x72 | FSN: None               | MRP: 2999.0   | Name: Sateen Fitted Sheets
  SKU: SC-STMRFTDSHEET-K-78x72          | Line: bedshee      | ASIN: B0DDCG62DZ   | FK SKU: SC-F-STMRFTDSHEET-K-78x72 | FSN: BDSH3SHEYZKVCWDR   | MRP: 2999.0   | Name: Sateen Fitted Sheets
  SKU: SC-STMRFTDSHEET-Q-72x60          | Line: bedshee      | ASIN: B0DDC9Z2KP   | FK SKU: SC-F-STMRFTDSHEET-Q-72x60 | FSN: None               | MRP: 2649.0   | Name: Sateen Fitted Sheets
  SKU: SC-STMRFTDSHEET-Q-75x60          | Line: bedshee      | ASIN: B0DDCG2SLN   | FK SKU: SC-F-STMRFTDSHEET-Q-75x60 | FSN: None               | MRP: 2649.0   | Name: Sateen Fitted Sheets
  SKU: SC-STMRFTDSHEET-Q-78x60          | Line: bedshee      | ASIN: B0DDCGHMXP   | FK SKU: SC-F-STMRFTDSHEET-Q-78x60 | FSN: None               | MRP: 2649.0   | Name: Sateen Fitted Sheets
  SKU: SC-STMRFTDSHEET-S-72x36          | Line: bedshee      | ASIN: B0DDCJB3FV   | FK SKU: SC-F-STMRFTDSHEET-S-72x36 | FSN: None               | MRP: 1999.0   | Name: Sateen Fitted Sheets
  SKU: SC-STMRFTDSHEET-S-75x36          | Line: bedshee      | ASIN: B0DDCDCCZG   | FK SKU: SC-F-STMRFTDSHEET-S-75x36 | FSN: None               | MRP: 1999.0   | Name: Sateen Fitted Sheets
